metric,value
true_positives_value,"77 Disbrow Street, Harrisburg, PA 17103"
true_positives_value,"1 South Main Street, Nazareth, PA 18064"
true_positives_value,"44 Docs Pond Drive, Gillett, PA 16925"
true_positives_value,"17 Ridge Avenue, Greenville, PA 16125"
true_positives_value,"8, 2024 BAR ASSOCIATION PAGE Dauphin County Bar Association 213 North Front Street, Harrisburg, PA 17101"
true_positives_value,"12 CIRCLE STREET, BROWNSVILLE, PA 15417 TAX PARCEL"
true_positives_value,"608 Hankey Farms Drive, Oakdale, PA 15071"
true_positives_value,"440 Trenton Avenue, Bristol, PA 19007"
true_positives_value,"213 North Front Street, Harrisburg, PA 17101"
true_positives_value,"1022 Old Wilmington Pike, West Chester, PA 19382"
true_positives_value,"3033 LOCUST STREET, HARRISBURG, PA 17109"
true_positives_value,"Jeffrey Jackson Moore, 100 Ranch Road, Waverly, NY 14892 and James Brian Moore, 27 Howard Street, Sayre, PA 18840"
true_positives_value,"230 York Street, Hanover, PA 17331"
true_positives_value,"731 Lehigh Street Easton, PA 18042"
true_positives_value,"1114 Peninsula Drive, Central City, PA 15926"
true_positives_value,"514 Vera Circle, Bethlehem, PA 18017"
true_positives_value,"Joyce Diane Burrowes, 1072 Bliss Road, Rome, PA 18837"
true_positives_value,"239 Hill Street, Lykens, PA 17048"
true_positives_value,"842 Winfield Road, Cabot, PA 16023"
true_positives_value,"861 Bridge Street, Catasauqua, PA 18032"
true_positives_value,"6716 Beacon Street, Pittsburgh, PA 15217"
true_positives_value,"842 WALNUT HILL ROAD, UNIONTOWN, PA 15401 TAX PARCEL"
true_positives_value,"4319 Beech Drive Nazareth, PA 18064"
true_positives_value,"3513 North Front Street, Harrisburg, PA 17110"
true_positives_value,"423 YAUGER HOLLOW ROAD, LEMONT FURNACE, PA 15456"
true_positives_value,"15019 Kutztown Road, Kutztown, PA 19530"
true_positives_value,"294 LITTLE SUMMIT ROAD, DUNBAR, PA 15431 TAX PARCEL"
true_positives_value,"51 East Wall Street, Bethlehem, PA 18018"
true_positives_value,"116 West Baltimore Avenue Media, PA 19063"
true_positives_value,"161 Broadbent Road Sewickley, PA 15143"
true_positives_value,"110 Carolyn Drive, Coraopolis, PA 15108"
true_positives_value,"2004 GREEN STREET, HARRISBURG, PA 17102"
true_positives_value,"Janis Wise, 32 Dock Street, Schuylkill Haven, PA 17972"
true_positives_value,"320 Peffer Street, Harrisburg, PA 17102"
true_positives_value,"David Edward Nelson, 153 Cedar Avenue, Hershey, PA 17033"
true_positives_value,"1515 Wheatfield Lane, Lebanon, PA 17042"
true_positives_value,"112 Carnegie Place, Somerset, PA 15501"
true_positives_value,"39 Sportsman Club Road, Sandy Lake, PA 16145"
true_positives_value,"29 Mainland Road, Harleysville, PA 19438"
true_positives_value,"534 Court Street, Reading, PA 19601"
true_positives_value,"1534 Rainer Road Brookhaven, PA 19015 Hand Money"
true_positives_value,"111 Jade Drive, Oakdale, PA 15071"
true_positives_value,"28 WILMAC STREET, UNIONTOWN, PA 15401 TAX PARCEL"
true_positives_value,"12 COLLINS AVENUE, UNIONTOWN, PA 15401 TAX PARCEL"
true_positives_value,"3510 Penn Avenue, Pittsburgh, PA 15201"
true_positives_value,"222 Lentz Road, Halifax, PA 17032"
true_positives_value,"Donna Rae Rheem, 60 Maurice Lane, Hatboro, PA 19040"
true_positives_value,"301 Main Street Towanda, PA 18848"
true_positives_value,"341 West State Street Media, PA 19063 LOIS"
true_positives_value,"8635 Presidents Drive, Hummelstown, PA 17036"
true_positives_value,"8704 Pebble Creek Court, Wonder Lake, IL 60097"
true_positives_value,"228 CHAPEL HILL ROAD SINKING SPRING, PA 19608"
true_positives_value,"21 West Third Street Media, PA 19063"
true_positives_value,"126 State Street, Harrisburg, PA 17101"
true_positives_value,"207 Ridgewood Road, Easton, PA 18045"
true_positives_value,"742 Main Street, Bethlehem, PA 18018"
true_positives_value,"619 Taylor Avenue, Pittsburgh, PA 15202"
true_positives_value,"606 Attica Street, Pittsburgh, PA 15220"
false_positives_value,"800) 692-7375 Powers Kirn, LLC 8 Neshaminy Interplex, Suite 215 Trevose, PA 19152"
false_positives_value,"35 Jolly Lane, Levittown, PA 19055."
false_positives_value,"23-FC-2448; Paternity; Arley L. Kemmerer, Esquire; 11/20/23."
false_positives_value,49-00-00142-00-7.
false_positives_value,"0 0 7 , 3 4 $ 0 0 ."
false_positives_value,"5 11 January 29, 2021 PIKE COUNTY LEGAL JOURNAL ADMINISTRATOR’S/ EXECUTOR’S NOTICE Estate of Robert F. Dunn, Deceased, late of Dingman Township, Pike County, Pennsylvania."
false_positives_value,6 4 4 1 3 5 7 0 7 3 1 3 6 1 3 5 6 1 7 0 1 7 G N I D
false_positives_value,"882 Maple Summit Road Mill Run, PA 15464 c/o Moore Becker Smarto & Acosta, P.C. 121 West Second Street Greensburg, PA 15601"
false_positives_value,"000179—$52,318.32 LOGS Legal Group LLP 610-278-6800 of Allegheny, Borough In the Commonwealth of Pennsylvania, County of Wilkinsburg: Having erected thereon a two family dwelling being known and numbered as 917 South Avenue, Pittsburgh, PA 15221."
false_positives_value,"96 Sunbury, PA Monday, March 18, 2024 No."
false_positives_value,"the southeast corner of lands now or formerly of S. D. Sterigeres, and in the center line of Front Street; thence along the line of lands now or formerly of S. D. Sterigeres South 79° West to the line of lands now or formerly H. J. Ladd, and now or formerly of Ahira Estell; thence along said lands now or formerly of Estell to a corner; thence on a line parallel to said first described line to the center of Front Street; thence along center of Front Street 70 feet to the point and place of beginning."
false_positives_value,"116, Issue 8 Second Publication APONTE, PABLO, dec’d."
false_positives_value,301-E-356. 105.
false_positives_value,"P.L. 1444, No. 177), as amended."
false_positives_value,"32,33,34"
false_positives_value,"two incidents with Mother contacting Child through cupcakes at school and the doctor’s visit, Child does not feel safe."
false_positives_value,"66, Bowers, PA 19511 and DIANE S. BRENSINGER, 635 Tower Rd., Mertztown, PA 19539."
false_positives_value,"12 Collins Avenue Uniontown, PA 15401 Defendant(s) ALL THAT CERTAIN LOT OF LAND IN CITY OF UNIONTOWN, AND FAYETTE SITUATE COUNTY COMMONWEALTH OF PENNSYLVANJA."
false_positives_value,10 of 2024 ED SOLD AS THE PROPERTY OF: The Unknown Heirs of Brandon J. Davis Deceased _______________________________________
false_positives_value,"125 South College St., Washington, PA 15301"
false_positives_value,"412-242-4400 In the Commonwealth of Pennsylvania, County of Allegheny, Municipality of Penn Hills: Being all that vacant commercial land known and numbered as Rodi Road, Pittsburgh, PA 15235."
false_positives_value,3/28/2024 Northampton County Bar Association Notification of Change Form
false_positives_value,23 16220; Ronald E. Cirba.
false_positives_value,209 on the aforesaid plan.
false_positives_value,"26, Unit #7 Bel, in the Gwynedd Club, Condominium, as recorded in Deed Book 4895 at Page 955."
false_positives_value,"1000 Floral Vale Blvd., Suite 300 Yardley, PA 19067"
false_positives_value,"5, 2024 5."
false_positives_value,"9/27/1995, as amended (the “Trust”), following the death of Charles W. Schell Sr., late of Swatara Township, Dauphin County, PA on February 6, 2024 (the “Decedent”), is hereby given."
false_positives_value,7051
false_positives_value,"2/10/2024), Lundy Beldecos & Milby, PC, 450 N. Narberth Ave., Suite 200, Narberth, PA 19072."
false_positives_value,3 2 6 6 1 6 1 3 4 4 6 7 0 3 5 5 1 G N
false_positives_value,"last of to registered office IS HEREBY GIVEN NOTICE that TripleBlind, Inc., a foreign business corporation incorporated under the laws of the State of Delaware, received a Certificate Authority/Foreign Registration in Pennsylvania on January 31, 2022, and will surrender its Authority/Foreign Certificate Registration in business Pennsylvania."
false_positives_value,"13 CARL SUTTON, dec’d."
false_positives_value,"m15-29 ESTATE OF CALVIN MARTIN GARNER, JR., late of Middletown Borough, Dauphin County, PA The Register of Wills has granted Letters on the Estate of the Decedent."
false_positives_value,"#: 170-016-05-03-0015-00 Improvements: Residential Dwelling Attorney: KML LAW GROUP, P.C., (215) 627-1322 WCR Vol 104"
false_positives_value,"2: Having thereon vacant land being known as Mueller Street, Gibsonia, PA 15044."
false_positives_value,14-012-026 BEING THE SAME PREMISES WHICH STEVEN J. CYPRESS AND JOELYNN M. FORMERLY KNOWN
false_positives_value,"2023-10425, issued out of the Court of Common Pleas of Montgomery County, Pa., to me directed will be sold at a Public on-line auction conducted by Bid4Assets, 8757 Georgia Ave., Suite 520, Silver Springs, MD 20910."
false_positives_value,"five (5) feet to Lot No. 31, all of Lot No. 32, and all of Lot No."
false_positives_value,15 — Copyright © Montgomery Bar Association 2024 03/14/2024
false_positives_value,426 -----
false_positives_value,"4 AND NO. 2 ON AFORESAID PLAN; THENCE CONTINUING ALONG THE DIVIDING LINE BETWEEN LOT NO. 2 AND 4 ON AFORESAID PLAN NORTH 43 DEGREES, 57 MINUTES, 14 SECONDS EAST FOR A DISTANCE OF 107.37 FEET TO A POINT AT THE DIVIDING LINE BETWEEN LOT NO. 2 AND LOT"
false_positives_value,"1325 Frank- lin Avenue, Suite 160, Garden City, NY 11530, (T) 212-471-5100, (F) 212-471-5150."
false_positives_value,249000.00 Lehman Twp 67000.00 Lehman Twp 102000.00 Lehman Twp 1.00 Greene Twp 1.00 Westfall
false_positives_value,"520 Walnut Street, Reading, PA 19601 BROWN, SHIRLEY P., dec’d."
false_positives_value,"107 Cedar Street, Delanco, NJ 08075, ERIN M. GAMBLE, 3040 Peacock Drive, Audubon, PA 19403."
false_positives_value,"608 W. Main Street, Lansdale, PA 19446-2012 SHVANDA, NANCY ADELE, dec’d."
false_positives_value,"23-02216w Dec 1, 8, 15, 2023 Schindler, Elizabeth L., deceased, of Pittsburgh, PA."
false_positives_value,"10 Westwood Road, Pottsville, PA 17901 SCHOFFSTALL, CHRISTINE E., deceased Late of Porter Township, Schuylkill County, PA Executrix: Brenda Shuey, 454 Dayton Street, Williamstown, PA 17098"
false_positives_value,"610) 317-8757 (Telephone) IF YOU CAN AFFORD TO HIRE A LAWYER BUT DO NOT HAVE A LAWYER, GO TO OR TELEPHONE"
false_positives_value,231 Sunbury Road Slippery Rock PA 16057
false_positives_value,00056
false_positives_value,"$2,986.32."
false_positives_value,k n o w n a s 1
false_positives_value,"2, 2000, and recorded at the Montgomery County Recorder of Deeds Office, on October 12, 2000, in Deed Book 5335 at Page 0250, granted and conveyed unto William C. Sullivan."
false_positives_value,"0 0 0 , 2 $ s e r r o T n a u J 0 0 ."
false_positives_value,"60 feet wide); thence, extending South eighty-six degrees twenty-nine minutes thirty-six seconds West, along the Northwest side of said drainage right-of-way, ninety-five and four one hundredths feet to a point in a certain fifteen feet wide drainage easement; thence, extending North five degrees six minutes forty-eight seconds West, passing through said"
false_positives_value,"2017-09517, issued out of the Court of Common Pleas of Montgomery County, Pa., to me directed will be sold at a Public on-line auction conducted by Bid4Assets, 8757 Georgia Ave., Suite 520, Silver Springs, MD 20910."
false_positives_value,"38 St. John Street, P.O. Box 96, Schuylkill Haven, PA 17972 MOORE, DENNIS M. a/k/a DEN- NIS MARK MOORE, deceased Late of Orwigsburg Borough, Schuylkill County, PA Executrix: Phyllis M. Brilla, 283 Coal Mountain Road, Orwigsburg, PA 17961"
false_positives_value,"2: Being thereon vacant residential land known as Airbrake Avenue, Turtle Creek, PA 15145"
false_positives_value,29.
false_positives_value,"Kathleen Bordick, 243 Muen- ster Rd., St. Mary's, PA 15857"
false_positives_value,"101 12/7/2023 ALL THAT CERTAIN parcel or tract of land situated in Bethlehem City, Northampton County, Pennsylvania, in accordance with a plan entitled “Preliminary/Final 710 Hayes Street, Minor Subdivision, Veranda Real Estate”, said plan prepared by Ott Consulting, Inc., and last revised on March 7, 2005."
false_positives_value,1 Aaron Landon Latschar was an adult at the time of his death.
false_positives_value,"2023, Ms. Mill investigated a report of abuse of Child, in which Mother was named as the perpetrator.27 A licensed psychologist, Isabella Evans, evaluated Child on May 24, 2023 and determined that Child suffered serious mental injury as a result of Mother’s actions.28 As such, Mother was indicated as a child"
false_positives_value,0369 Improvements thereon: RESIDENTIAL DWELLING _______________________________________
false_positives_value,493 2ND STREET
false_positives_value,"125, Instrument Number 2021-42072."
false_positives_value,"Debra A. Shalles c/o Kyle A. Burch, Esquire, 22 State Road, Media, PA 19063­1442."
false_positives_value,"716 East 12th Avenue, Munhall, PA 15120"
false_positives_value,"390, Rittenhouse Boulevard, Norristown, PA 19403."
false_positives_value,"14139, Page 450, Block and Lot 1368-G-336."
false_positives_value,half story frame dwelling and garage and being known and numbered as premises No.
false_positives_value,2 1 0
false_positives_value,00057
false_positives_value,"36-22-145; 1990; BI-LEVEL;DETACH; WOOD ALL that certain messuage, tenement and tract of land, situate in State College Borough, Centre County, Pennsylvania, bounded and described as follows, to wit: BEGINNING at a point on the southeasterly side of Lytle Avenue at the northeasterly corner of Lot No. 71; thence along Lytle Avenue, North 51 degrees 07 minutes East, 75.00 feet to Lot No. 67; thence along Lot No. 67, South 38 de- grees 53 minutes East, 180.11 feet to Lot No. 68; thence along Lots Nos. 68 and 70, South 51 Centre County Legal Journal degrees 05 minutes West, 75.01 feet to Lot No. 71; thence along Lot No. 71, North 38 degrees 53 minutes West, 180.21 feet to Lytle Avenue and the place of beginning."
false_positives_value,Pike County Commonwealth Of Pennsylvania against or indebted to estate present same to EXECUTRIX:
false_positives_value,"21, 2024, at 10:00 a.m. in Courtroom TBA, Delaware County Courthouse, Media, Pennsylvania, as the time and place for the hearing of said Petition, when and where all persons interested may appear and show cause, if any they have, why the prayer of said Petition should not be granted."
false_positives_value,"17, 2024, at 10:00 a.m. in Courtroom “TBA”, Delaware County Courthouse, Media, PA as the time and place for the hearing of said Petition, when and where all persons interested may appear and show cause, if any they have, why the prayer of the said Petition should not be granted."
false_positives_value,"pages, you must take action within twenty (20) days after this Complaint and notice are served, by entering a written appearance personally or by attorney and filing in writing with the court your defenses or objections to the claims set forth against you."
false_positives_value,"340 Jefferson Ave., Apt."
false_positives_value,"56 Broadway, P.O. Box 29, Jim Thorpe, PA 18229."
false_positives_value,"7, Page 350, Records of Mercer County and State aforesaid and described as follows: BEGINNING on the easterly side of Emerson Avenue 430 feet southwardly from French Street; thence extending in front or width along said Emerson Avenue"
false_positives_value,"0 0 6 , 8 1 $ 0 0 ."
false_positives_value,7 NORTHAMPTON COUNTY REPORTER Vol.
false_positives_value,"06530772426047 TO BE SOLD AS THE PROPERTY OF: UNKNOWN HEIRS, SUCCESSORS, ASSIGNS, AND ALL PERSONS, FIRMS, OR ASSOCIATIONS CLAIMING RIGHT, TITLE, OR INTEREST FROM OR UNDER PETER J. RABER,"
false_positives_value,"96, No. 46 TAGGART, a/k/a ELIZABETH A. ELIZABETH TAGGART, dec’d."
false_positives_value,"210 Sixth Ave., Ste. 320, Pittsburgh, PA 15222."
false_positives_value,20% DOWN AND BAL- ANCE IN 10 DAYS.
false_positives_value,23-04683
false_positives_value,"Gladys E. Wiles, Esquire, Snyder & Wiles, P.C., 7731 Main Street, Fogelsville, PA 18051 STRAUB, ROBERT GEORGE, dec’d."
false_positives_value,"GD-21-014768—$11,125.36 Jennifer L. Cerce, Esq. 412-242-4400"
false_positives_value,30 days after the sale of real property.
false_positives_value,m z u G d
false_positives_value,"re: J.L.C., 837 A.2d 1247, 1251 (Pa. Super. 2003)."
false_positives_value,"16059 Attorney: C Eric Pfeil Dentons Cohen & Grigsby P.C. 625 Liberty Avenue Pittsburgh PA 15222 BCLJ: June 9, 16, 23, 2023 _______"
false_positives_value,2023 GD No. 6 of 2024 ED NATIONSTAR MORTGAGE LLC D/B/A MR. COOPER BRYAN MCKAHAN; LISA MCKAHAN v. By virtue of a Writ of Execution No. 2023- 02255
false_positives_value,"360 W. Main Street, Trappe, PA 19426 WOSAK, JULIANNA MEADOWS, dec’d."
false_positives_value,"23-00302 Judgment: $328,179.45 Attorney: Stephen M. Hladik, Esquire ALL THAT CERTAIN lot or piece of ground together with the two and one half story single brick and frame dwelling house erected thereon, being No. 92 Grandview Boulevard, situate in the Borough of Wyomissing (formerly the Borough of Wyomissing Hills) formerly the Township of Spring, County of Berks and State of Pennsylvania, as shown on a map or plan of Wyomissing Hills, surveyed by R. Kurtz Wells, C.E., said map or plan being duly acknowledged and recorded in the Office for Recording of Deeds in and for the County of Berks in Plan Book 2 page 40, and being further known as a part of Lot No. 19 and a part of Lot No."
false_positives_value,"11 DANIELLE DiLEVA, ESQUIRE JUDGMENT AMOUNT: $27,147.01 OF DAUPHIN ALL OF THE FOLLOWING PROPERTY IS LOCATED IN THE COUNTY OF DAUPHIN AND OF COMMONWEALTH PENNSYLVANIA."
false_positives_value,"13 acres and 142 perches, more or less."
false_positives_value,"104 Issues 34,35,36 Keller, Sandra Helene Late of Amwell Twp. Washington Co., PA File No. 63-24-0261 The Register of Wills has granted Letters on the Estate of the Decedent."
false_positives_value,"16-08-01068-00 To all parties in interest and claimants: BEING known as 842 Fairfax Road, Drexel Hill, PA 19026."
false_positives_value,2 1 $ / R E T L A W A E C A R G K C I F R J & N
false_positives_value,2274-S-00270-0000-00.
false_positives_value,278 page 54.
false_positives_value,ten (10) days thereafter.
false_positives_value,1 3 4 T S N E D R A G K N I S R E V E N 1 1 7 L A K N I S R E V E N 3 1 7 L A N A M A G N B 4 0 8 I T S 5
false_positives_value,1 Lots Holding LLC
false_positives_value,"16; February 26; March 19 COST CONTEMPTS January 9; February 13; March 5 GUILTY PLEAS/SENTENCINGS January 4, 12, 19,29; February 5,9,26; March 4, 11, 15, 18,22,25 LEGAL HOLIDAYS January 1, 15; February 19; March 29 SUPPORT APPEALS January 9,23; February 6,27; March 5,26 SUPPORT CONTEMPTS January 9,23; February 6,27; March 5,26 TREATMENT COURT January 9; February 6, 13,27; March 5, 19,26 TRIAL DATES January 23,24,25,26;"
false_positives_value,4 3 1 8 8 2 9 3 5 5 6 7 0 3 5 5 1 0 0 .
false_positives_value,"4226 Kutztown Rd., Muhlenberg Township."
false_positives_value,"3, 2020 Sheriff Sale of real estate and all such monthly public sales thereafter shall be conducted virtually through video conferencing technology or live streaming."
false_positives_value,14667 SEIZED AND SOLD as the property of Veronica Snively a/k/a Veronica R. Snively; Dale G. Larkin under judgment #2023-CV-09552 NOTICE is further given to all parties in interest and claimants.
false_positives_value,Jennifer M. Casini _______________________________________
false_positives_value,"6640 Saranac Drive, Transfer, Pennsylvania 16154 BEING THE SAME PREMISES WHICH RJP REAL ESTATE HOLDINGS, LLC, A PENNSYLVANIA LIMITED LIABILITY COMPANY by deed dated April 21, 2021 and recorded May 14, 2021 in Instrument Number 2021-00005219, granted and conveyed unto Howard McCreary."
false_positives_value,"85 Oreland Place, Oreland, PA 19075."
false_positives_value,"#: 170-017-06-02-0023-00 Improvements: Residential Dwelling Attorney: KML LAW GROUP, P.C., (215) 627-1322 WCR Vol 104 Issues 34,35,36 CHARTIERS (Cont’d) MIDFIRST BANK vs MATTHEW P. KHANOLKAR DOCKET #: 2023-4817"
false_positives_value,"116, Issue 8 Being known as 50 Hendel Street, Shillington, PA 19607 BEING THE SAME PREMISES which Harry K. Fry, Jr. and Keith D. Malone by Deed dated January 24, 2022 and recorded January 27, 2022 in the Office of the Recorder of Deeds in and for the County of Berks, Pennsylvania in Instrument Number 2022004106 granted and conveyed unto Amber N. Lesher in fee."
false_positives_value,21
false_positives_value,1 3 4 3 1 0 6 8 7 5 3 6 0 3 5 1 0 5 3 3 6 6 3 3 6 4 6 3 6 0 0 .
false_positives_value,"24 E. 10th St., Unit 613, Marcus Hook, PA 19061."
false_positives_value,"24; Dec. 1, 8 Sale of the real estate shall be held on Wednesday, December 13, 2023"
false_positives_value,"104 Issues 34,35,36 Devitis, Mary A. a/k/a Mary P. Devitis Late of Borough of Canonsburg Washington Co., PA The Register of Wills has granted Letters on the Estate of the Decedent."
false_positives_value,"1210 Broadcasting Road, Suite 103, Wyomissing, PA 19610 PETERS, CHARMAINE L. also known as PETERS, CHARMAINE F., dec’d."
false_positives_value,#: 09-13-0213.000 (garage) 09-13-0262.000 (residence).
false_positives_value,"4, 2021 on Route 22 East in Pennsylvania."
false_positives_value,22 (SALE NO. 6) PLAINTIFF: Legacy Mortgage Asset Trust 2020-GS5. DEFENDANT(S): Vincent Tate.
false_positives_value,19 (SALE NO. 9) Plaintiff: Freedom Mortgage Cor- poration.
false_positives_value,"1040 Stony Hill Rd., Ste. 150, Yardley, PA 19067."
false_positives_value,"2: A certain right-of-way used in common with Ray Shawley, et ux., their heirs and assigns, the center line description of said 12-foot right-of- way being as follows: BEGINNING at a point on the Westerly line of said Township Road 16 1/2 feet from the center line thereof and opposite a certain nail on the southerly side of a point on said Township Road where a small stream crosses the Township Road; thence North 84° 52’ West 95.4 feet; South 77° 14’ West 41.7 feet; South 49° 26’ West 49.3 feet; and South 31° 21’ West 96.8 feet to the Eastern line of lands now or late of John W. Shawley."
false_positives_value,63-24-00226 The Register of Wills has granted Let- ters on the Estate of the Decedent.
false_positives_value,30 DAYS AFTER THE DATE OF SALE.
false_positives_value,5500 NNoorrtthh 55tthh
false_positives_value,"m15-29 SupremeCourtJobs@pacourts.us. in applying are submit a interested requested resume to ASSOCIATE ATTORNEY: - 3-6 Yrs Experience - Professional Liability - Harrisburg, PA | Marshall Dennehey seeks to hire attorneys who want to find their “forever home."
false_positives_value,"23-1152 Judgment Amount: $325,491.99 Attorney: Jennie C. Shnayder, Esquire ALL THAT CERTAIN piece or parcel of land situate in the Township of Tilden, formerly Township of Upper Berne, in the County of Berks and State of Pennsylvania, bounded and described as follows: BEGINNING at a post in a public road running along the rail road; thence along the same South twenty-nine degrees East fourteen and three tenth perches to a stone a corner of land now or late of Durias Shollenberger; thence by the same South four and a half degrees West twenty-two and four tenth perches to a stone; thence by land now or late of Solomon Kaufman North seventeen and a half degrees West fifteen and nine tenth perches to a stone; thence by land of same North eighty-nine degrees East nineteen and seven tenth perches to the place of the beginning."
false_positives_value,"46 TINICUM TOWNSHIP WARMINSTER TOWNSHIP DOCKET #2021-05302 All that certain piece or parcel or Tract of land situate in TINICUM TOWNSHIP, Bucks County, Pennsylvania, and being known as 40 Union School Road, Upper Black Eddy, Pennsylvania 18972."
false_positives_value,"its principal office is 10580 Newkirk Street, Suite 301, Dallas, TX 75220."
false_positives_value,6 0 8 V A 1 4 8 7 4 3 5 5 7 0 3 5 5 1 I G N D
false_positives_value,"7097 National Pike, Grantsville, MD 21536 Reference: No. 494 Estate 2023 Attorney for the estate: Attorney MARY E. SCHELLHAMMER 139 East Union Street P.O. Box 284 Somerset, PA 15501"
false_positives_value,"2 $ , y t r e p o r P e d"
false_positives_value,"35-088-068 PREMISES BEING: 6010 Cherry Hill Rd., Harrisburg, PA 17111 SEIZED AND SOLD as the property of Jaime G. Muniz and Maria C. Muniz under judgment #2023-CV-03667 NOTICE is further given to all parties in interest and claimants."
false_positives_value,"1326 Barkley Road, Port Vue, Pennsylvania 15133."
false_positives_value,23-04537
false_positives_value,"1093 MORGANTOWN RD, POINT MARION, PA 15474 Tax ID No. 29030104"
false_positives_value,"2023-02094 DAVID W. RAPHAEL PLAINTIFF'S ATTORNEY NOVEMBER 22, 2023 LEVIED ON THE FOLLOWING ALL THE RIGHT, TITLE, INTEREST AND CLAIM OF THE DEFENDANT (S) GLORIA A. SPENCER, IN CAPACITY"
false_positives_value,"737 Glenn Ave., Pittsburgh, PA 15221."
false_positives_value,n s
false_positives_value,2023-06344
false_positives_value,"Lyn Boocock­Taylor, 298 Bryn Mawr Avenue, Lansdowne, PA 19050."
false_positives_value,6539 Shirley Drive Hillsboro OH 45133
false_positives_value,"$119,304.47."
false_positives_value,"$46,802.84."
false_positives_value,"Allison L. McCoy, 2404 8th St. E., Bradenton, FL 34208 WCR Vol 104 Issues 33,34,35 Cahill, Dorothy Louise a/k/a Louise Cahill Late of Canton Twp."
false_positives_value,"its principal office is 3851 West Hamlin Road, Rochester Hills, MI 48309."
false_positives_value,"15 feet wide alley, South 28 degrees 29 minutes 49 seconds West the distance of 187.18 feet to a point in the Northern line of Lot No. 46 Block J; thence along Lot No. 46 and Lot No. 47 Block J North 62 degrees 56 minutes 29 seconds West the distance of 82.30 feet to a point, said point being 44.98 feet West of the Southeastern corner of Lot No. 18, and said point being a corner of the property of W. Marshall Hughes, of which this was a part, thence along same North 29 degrees 11 minutes East the distance of 190.20 feet to a point in the Southern line of Grandview Boulevard, the last described line being 44.95 feet West of and parallel to the Eastern line of said Lot No. 18 Block J; thence along the Southern line of said Grandview Boulevard South 60 degrees 49 minutes East the distance of 68.27 feet to a point; thence still along same by a line curving to the North and having a radius of 2230.95 feet the distance of 11.73 feet to the place of Beginning."
false_positives_value,"10 SNYDER, DONALD E.; Weath- erly, PA; Testamentary; Thom- as S. Nanovic, Esquire."
